文章标题,发布日期,文章正文,发文机构,政策地区,站点,搜索关键词,原文链接,发文字号,正文长度,附件链接,抓取时间,抓取状态
政府信息公开指南,,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
政府信息公开指南
为便利社会公众向本机关获取政府信息，规范政府信息公开申请提交和接收行为，增进政府信息公开工作方面的沟通理解，根据《中华人民共和国政府信息公开条例》有关规定，本机关编制政府信息公开指南并实时更新。
一、本机关持有政府信息基本情况
国家发展和改革委员会是国务院组成部门，职能配置、内设机构可点击
http://www.ndrc.gov.cn/fzggw/bnpz/
查询。在履行职责过程中，本机关产生并主动公开的政府信息，可登录国家发展和改革委员会门户网站“政府信息公开”→“政府信息公开目录”栏目查询，具体网址为
http://zfxxgk.ndrc.gov.cn/web/dirlist.jsp
。同时，社会公众可以通过关注微信、微博、今日头条、百度、抖音、快手等新媒体平台的“国家发展改革委”账号，及时了解本机关最新政策和工作动态。
二、政府信息公开申请渠道
申请人可通过以下方式向本机关提交政府信息公开申请：
1.当面提交。申请人可以到我委政务服务大厅政府信息公开窗口领取填写并提交《国家发展改革委政府信息公开申请表》（以下简称《申请表》，格式见附件）。地址：北京市西城区月坛南街38号。工作时间：周一至周五 8:30－11:30、13:30－16:30，法定节假日除外。
2.邮政寄送。申请人可以从我委门户网站政府信息公开子站自行下载并填写《申请表》，通过信函方式寄送到我委，请在信封左下角注明“政府信息公开申请”字样。收件人：国家发展改革委政府信息公开工作领导小组办公室。地址：北京市西城区月坛南街38号。邮编：100824。
3.网络平台提交。申请人可以登录国家发展改革委政府信息公开申请系统（可点击网址
http://zfxxgk.ndrc.gov.cn/web/apply.jsp
进入)，根据系统提示要求填写政府信息公开申请表（电子版）并提交。
三、政府信息公开工作机构情况
本机关政府信息公开工作机构为国家发展改革委政府信息公开工作领导小组办公室（办公厅秘书二处）。办公地址：北京市西城区月坛南街38号；咨询电话：68503333；电子邮箱：
xxgk@ndrc.gov.cn
（本邮箱不受理公开申请）。
四、其他事项
申请人提交政府信息公开申请时，需提供有效身份证明材料，并对申请材料的真实性负责。为提高申请的处理效率，申请人应对所需信息描述详尽、明确；若可能，请提供政府信息的名称、文号或者其他便于行政机关查询的其他特征性描述。
附件：
国家发展改革委政府信息公开申请表",公开指南_政府信息公开_政务公开-国家发展改革委,北京市,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/default.jsp,,1188,https://zfxxgk.ndrc.gov.cn/attached/file/20191023/20191023011929_894.doc,2026-04-25 16:17:25,ok
政府信息公开制度,2019-04-03,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
政府信息公开制度
中华人民共和国政府信息公开条例
2019年4月3日中华人民共和国国务院令第711号公布修订后的《中华人民共和国政府信息公开条例》，自2019年5月15日起施行。
查看详情 >",公开制度_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/newslist.jsp,,229,,2026-04-25 16:17:27,ok
公开事项类别: 全部,2026-04-01,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
公开事项类别: 全部
序号
公开事项名称
制发日期
1
关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号)
2026-04-14
2
关于做好2026年享受税收优惠政策的集成电路企业或项目、软件企业清单制定工作的通知(发改高技〔2026〕487号)
2026-04-07
3
关于公布2026年稻谷最低收购价格的通知(发改价格〔2026〕451号)
2026-03-31
4
关于印发《全国公共信用信息基础目录(2026年版)》和《全国失信惩戒措施基础清单(2026年版)》的通知(发改财金〔2026〕447号)
2026-03-30
5
国家发展改革委部门预算（2026年）
2026-03-26
6
国家发展改革委2026年规章制定工作计划
2026-03-25
7
关于优化完善无线电频率占用费标准的通知(发改价格〔2026〕413号)
2026-03-24
8
关于发布《无人仓通用技术要求》等14项推荐性物流行业标准的公告 2026年第3号
2026-03-20
9
电力重大事故隐患判定标准及治理监督管理规定
2026-03-18
10
国家发展和改革委员会直属单位2026年度第二批公开招聘公告
2026-03-17
11
关于2026年棉花关税配额外优惠关税税率加工贸易进口配额申领有关事项的公告
2026-03-04
12
关于在全社会推进儿童友好建设的意见(发改社会〔2026〕258号)
2026-02-12
13
粮食流通行政执法办法
2026-02-11
14
关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号)
2026-02-06
15
关于加强投资项目在线审批监管平台和工程建设项目审批管理系统数据共享的通知(发改办投资〔2026〕88号)
2026-02-02",主动公开_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/dirlist.jsp,发改办体改〔2026〕275号,903,,2026-04-25 16:17:29,ok
公开事项类别: 规划计划,2024-06-02,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
公开事项类别: 规划计划
序号
公开事项名称
制发日期
1
京津冀一流营商环境建设三年行动方案
2024-06-24
2
《粤港澳大湾区国际一流营商环境建设三年行动计划》
2023-12-25
3
《前海深港现代服务业合作区总体发展规划》
2023-12-16
4
《横琴粤澳深度合作区总体发展规划》
2023-12-16
5
关于印发《国家公路网规划》的通知(发改基础〔2022〕1033号)
2022-07-04
6
《氢能产业发展中长期规划（2021-2035 年）》
2022-03-23
7
河南郑州等地特大暴雨洪涝灾害灾后恢复重建总体规划
2022-03-11
8
关于印发《“十四五”现代能源体系规划》的通知(发改能源〔2022〕210号)
2022-01-29
9
关于印发《“十四五”现代流通体系建设规划》的通知(发改经贸〔2022〕78号)
2022-01-21
10
关于印发“十四五”重点流域水环境综合治理规划的通知(发改地区〔2021〕1933号)
2021-12-31
11
关于印发《“十四五”公共服务规划》的通知(发改社会〔2021〕1946号)
2021-12-28
12
关于印发《“十四五”推进国家政务信息化规划》的通知(发改高技〔2021〕1898号)
2021-12-24
13
“十四五”水安全保障规划
2021-12-22
14
关于印发《江苏沿海地区发展规划(2021—2025年)》的通知(发改地区〔2021〕1862号)
2021-12-22
15
关于印发《“十四五”生物经济发展规划》的通知(发改高技〔2021〕1850号)
2021-12-20",主动公开_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/dirlist.jsp?dirid=9&pid=9,发改地区〔2021〕1933号,834,,2026-04-25 16:17:32,ok
公开事项类别: 财务信息,2026-03-02,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
公开事项类别: 财务信息
序号
公开事项名称
制发日期
1
国家发展改革委部门预算（2026年）
2026-03-26
2
国家发展改革委机关本级决算（2024年度）
2025-08-26
3
国家发展改革委部门决算（2024年度）
2025-07-25
4
国家发展改革委2024年政府​集中采购实施情况
2025-07-09
5
国家发展改革委机关本级预算（2025年）
2025-04-29
6
国家发展改革委部门预算（2025年）
2025-03-26
7
国家数据局（本级）2023年度决算
2024-08-26
8
国家发展改革委机关本级决算（2023年）
2024-08-26
9
国家发展改革委2023年政府集中采购实施情​况
2024-07-31
10
国家数据局2023年度部门决算
2024-07-25
11
国家发展改革委部门决算（2023年度）
2024-07-25
12
国家数据局（本级）2024年度预算
2024-05-15
13
国家发展改革委机关本级预算 (2024年)
2024-05-15
14
国家数据局2024年度部门预算
2024-03-26
15
国家发展改革委部门预算（2024年）
2024-03-26",主动公开_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/dirlist.jsp?dirid=10&pid=10,,660,,2026-04-25 16:17:37,ok
公开事项类别: 人事工作信息,2026-03-01,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
公开事项类别: 人事工作信息
序号
公开事项名称
制发日期
1
国家发展和改革委员会直属单位2026年度第二批公开招聘公告
2026-03-17
2
国家发展改革委2026年度公务员录用面试公告
2026-01-26
3
国家发展改革委2026年度公务员录用工作通知
2026-01-15
4
国家发展和改革委员会2025年度拟录用公务员公示公告
2025-04-23
5
国家发展改革委2025年公务员录用面试公告
2025-02-06
6
国家发展改革委2025年公开遴选和公开选调公务员面试公告
2025-02-06
7
国家发展改革委所属事业单位2024年接收高校毕业生情况公示
2024-09-20
8
国家发展和改革委员会2024年度拟录用公务员公示公告（第二批）
2024-07-23
9
国家发展和改革委员会2024年度第一批拟录用公务员公示公告
2024-05-06
10
国家发展和改革委员会2024年度公开遴选和公开选调拟任职人员公示公告
2024-05-06
11
国家发展和改革委员会2023年度拟录用公务员公示公告
2023-05-30
12
国家发展改革委国际合作中心2023年面向社会公开招聘工作人员公告
2022-12-27
13
国家信息中心2022年公开招聘工作人员公告
2022-11-21
14
中国市场出版社有限公司2023年公开招聘工作人员公告
2022-11-21
15
国家发展和改革委员会价格成本调查中心2023年面向社会公开招聘工作人员公告
2022-11-21",主动公开_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/dirlist.jsp?dirid=31&pid=11,,791,,2026-04-25 16:17:40,ok
公开事项类别: 其他,2026-04-01,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
公开事项类别: 其他
序号
公开事项名称
制发日期
1
关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号)
2026-04-14
2
关于做好2026年享受税收优惠政策的集成电路企业或项目、软件企业清单制定工作的通知(发改高技〔2026〕487号)
2026-04-07
3
关于公布2026年稻谷最低收购价格的通知(发改价格〔2026〕451号)
2026-03-31
4
关于印发《全国公共信用信息基础目录(2026年版)》和《全国失信惩戒措施基础清单(2026年版)》的通知(发改财金〔2026〕447号)
2026-03-30
5
国家发展改革委2026年规章制定工作计划
2026-03-25
6
关于优化完善无线电频率占用费标准的通知(发改价格〔2026〕413号)
2026-03-24
7
关于发布《无人仓通用技术要求》等14项推荐性物流行业标准的公告 2026年第3号
2026-03-20
8
关于在全社会推进儿童友好建设的意见(发改社会〔2026〕258号)
2026-02-12
9
关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号)
2026-02-06
10
关于加强投资项目在线审批监管平台和工程建设项目审批管理系统数据共享的通知(发改办投资〔2026〕88号)
2026-02-02
11
关于做好2026年春耕及全年化肥保供稳价工作的通知(发改经贸〔2026〕149号)
2026-01-30
12
关于推动低空保险高质量发展的实施意见(发改低空〔2026〕123号)
2026-01-28
13
关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号)
2026-01-27
14
关于进一步完善殡葬服务收费政策的通知(发改价格〔2026〕108号)
2026-01-26
15
关于印发《长株潭生态绿心加快绿色转型发展实施方案》的通知(发改环资〔2025〕1751号)
2025-12-30",主动公开_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/dirlist.jsp?dirid=18&pid=18,发改办体改〔2026〕275号,974,,2026-04-25 16:17:42,ok
政府信息公开年报,2026-01-03,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
政府信息公开年报
国家发展改革委2025年政府信息公开工作年度报告（文字版）
2026-01-30
国家发展改革委2025年政府信息公开工作年度报告（图解版）
2026-01-30
国家发展改革委2024年政府信息公开工作年度报告（文字版）
2025-01-26
国家发展改革委2024年政府信息公开工作年度报告（图解版）
2025-01-26
国家发展改革委2023年政府信息公开工作年度报告（文字版）
2024-01-30
国家发展改革委2023年政府信息公开工作年度报告（图解版）
2024-01-30
国家发展改革委2022年政府信息公开工作年度报告（文字版）
2023-01-19
国家发展改革委2022年政府信息公开工作年度报告（图解版）
2023-01-19
国家发展改革委2021年政府信息公开工作年度报告（文字版）
2022-01-27
国家发展改革委2021年政府信息公开工作年度报告（图解版）
2022-01-27
国家发展改革委2020年政府信息公开工作年度报告（文字版）
2021-01-29
国家发展改革委2020年政府信息公开工作年度报告（图解版）
2021-01-29
国家发展改革委2019年政府信息公开工作年度报告
2020-01-23
国家发展改革委2018年政府信息公开工作年度报告
2019-03-29
国家发展改革委2017年政府信息公开工作年度报告
2018-03-30
国家发展改革委2016年政府信息公开工作年度报告
2017-03-14
国家发展改革委2015年政府信息公开工作年度报告
2016-03-10
国家发展改革委2014年政府信息公开工作年度报告
2015-03-30
国家发展改革委2013年政府信息公开工作年度报告
2014-03-21
国家发展改革委2012年政府信息公开工作年度报告
2013-03-25
国家发展改革委2011年政府信息公开工作年度报告
2012-02-21
国家发展改革委2010年政府信息公开工作年度报告
2011-03-01
国家发展改革委2009年政府信息公开工作年度报告
2010-03-25",公开年报_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/yearreport.jsp,,1029,,2026-04-25 16:17:45,ok
政府网站年度报告,2026-01-02,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
政府网站年度报告
国家发展改革委2025年政府网站工作年度报表（图解版）
2026-01-23
国家发展改革委2025年政府网站工作年度报表（文字版）
2026-01-23
国家发展改革委2025年政府网站监管年度报表
2026-01-23
国家发展改革委2024年政府网站工作年度报表（图解版）
2025-01-23
国家发展改革委2024年政府网站工作年度报表（文字版）
2025-01-23
国家发展改革委2024年政府网站监管年度报表
2025-01-23
国家发展改革委2023年政府网站工作年度报表（图解版）
2024-01-31
国家发展改革委2023年政府网站工作年度报表（文字版）
2024-01-31
国家发展改革委2023年政府网站监管年度报表
2024-01-31
国家发展改革委2022年政府网站工作年度报表（图解版）
2023-01-31
国家发展改革委2022年政府网站工作年度报表（文字版）
2023-01-31
国家发展改革委2022年政府网站监管年度报表
2023-01-31
国家发展改革委2021年政府网站工作年度报表（图解版）
2022-02-09
国家发展改革委2021年政府网站工作年度报表（文字版）
2022-01-30
国家发展改革委2021年政府网站监管年度报表
2022-01-30
国家发展改革委2020年政府网站工作年度报表
2021-03-01
国家发展改革委2020年政府网站监管年度报表
2021-03-01
国家发展改革委2019年政府网站工作年度报表
2020-02-27
国家发展改革委2019年政府网站监管年度报表
2020-02-27
国家发展改革委2018年政府网站工作年度报表
2019-01-30
国家发展改革委2018年政府网站监管年度报表
2019-01-30
国家发展改革委2017年政府网站工作年度报表
2018-01-30
国家发展改革委2017年政府网站监管年度报表
2018-01-30",政府网站年度报告_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/pagelist.jsp,,973,https://zfxxgk.ndrc.gov.cn/upload/images20201/202012793433401.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/20201279345667.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2021031001.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2021031002.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2022021501.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2022021502.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2023021401.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2023021402.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2024013101.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2024013102.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2025012301.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2025012302.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2026012301.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20201/2026012302.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20203/202032415494462.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20203/202032416145245.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20203/20203241618518.pdf;https://zfxxgk.ndrc.gov.cn/upload/images20203/20211228.pdf,2026-04-25 16:17:47,ok
法治政府建设年度报告,2026-03-02,"政府信息公开
收起高级检索
政  策
规章
行政规范性文件
政府信息公开指南
政府信息公开制度
法定主动公开内容
机构信息
政策解读回应
办事指南
规划计划
行政许可
财务信息
综合管理
人事工作信息
其他
政府信息公开年报
政府网站年度报告
法治政府建设年度报告
法治政府建设年度报告
国家发展改革委2025年度推进法治政府建设进展情况
2026-03-25
国家发展改革委2024年度推进法治政府建设进展情况
2025-03-19
国家发展改革委2023年度推进法治政府建设进展情况
2024-03-14
国家发展改革委2022年度推进法治政府建设​进展情况
2023-03-22
国家发展改革委2021年度推进法治政府建设​进展情况
2022-03-31
国家发展改革委2020年度推进法治政府建设进展情况
2021-03-31
国家发展改革委2019年度推进法治政府建设进展情况
2020-03-31
国家发展改革委2018年度推进法治政府建设进展情况
2019-04-10",法治政府建设年度报告_政府信息公开_政务公开-国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/lawlist.jsp,,441,,2026-04-25 16:17:49,ok
关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),2026-04-01,"国家发展改革委办公厅 国家能源局综合司
关于修订省间电力现货交易规则的复函
发改办体改〔2026〕275号
国家电网有限公司：
你公司《关于省间电力现货交易规则修订工作的请示》收悉。现批复如下。
一、原则同意修订后的《省间电力现货交易规则》，请你公司会同有关方面按照修订后的规则，认真组织实施省间电力现货交易，切实发挥省间现货交易促进更大范围资源配置、余缺互济的作用。
二、你公司要强化统筹协同，扎实做好省间电力现货市场与跨电网经营区交易、省间中长期市场、各省（区、市）内电力现货市场的高效衔接。切实维护省间电力现货交易公平竞争秩序，保障各类经营主体平等参与市场交易的合法权益，营造公开透明、公平公正、规范有序的市场环境。
三、要结合省间电力现货市场运行实际，稳步扩大市场交易范围，加快研究论证用户侧直接参与省间电力现货市场的可行路径，完善计量、结算、风险防控等配套措施，适时推动用户侧主体有序参与。
四、要统筹兼顾市场交易效率与电网运行安全，严守安全底线，强化交易流程风险防控，完善应急处置机制，及时梳理、解决市场运行中的新情况、新问题，不断优化完善交易规则和运营机制，重大事项及时向国家发展改革委、国家能源局报告。
附件：省间电力现货交易规则
国家发展改革委办公厅
国家能源局综合司
2026年4月14日",国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20621,发改办体改〔2026〕275号,554,,2026-04-25 16:17:51,ok
关于做好2026年享受税收优惠政策的集成电路企业或项目、软件企业清单制定工作的通知(发改高技〔2026〕487号),2026-04-07,"国家发展改革委等部门关于
做好2026年享受税收优惠政策的
集成电路企业或项目、软件企业
清单制定工作的通知
发改高技〔2026〕487号
各省、自治区、直辖市及计划单列市、新疆生产建设兵团发展改革委、工业和信息化主管部门、财政厅（局），海关总署广东分署、各直属海关，国家税务总局各省、自治区、直辖市、计划单列市税务局：
为促进我国集成电路产业和软件产业持续健康发展，根据《国务院关于印发新时期促进集成电路产业和软件产业高质量发展若干政策的通知》（以下简称《若干政策》）和配套政策有关规定，以及《财政部、税务总局、国家发展改革委、工业和信息化部关于提高集成电路和工业母机企业研发费用加计扣除比例的公告》（以下简称《公告》）有关规定，经研究，现就2026年享受税收优惠政策的集成电路企业或项目、软件企业清单（以下简称“清单”）制定工作有关事项通知如下。
一、本通知所称清单是指《若干政策》第（一）条提及的国家鼓励的集成电路线宽小于28纳米（含）、线宽小于65纳米（含）、线宽小于130纳米（含）的集成电路生产企业或项目的清单；《若干政策》第（三）、（六）、（七）、（八）条和《财政部、海关总署、税务总局关于支持集成电路产业和软件产业发展进口税收政策的通知》（财关税〔2021〕4号）、《财政部、国家发展改革委、工业和信息化部、海关总署、税务总局关于支持集成电路产业和软件产业发展进口税收政策管理办法的通知》（财关税〔2021〕5号）提及的国家鼓励的重点集成电路设计企业和软件企业，集成电路线宽小于65纳米（含）的逻辑电路、存储器生产企业，线宽小于0.25微米（含）的特色工艺集成电路生产企业，集成电路线宽小于0.5微米（含）的化合物集成电路生产企业和先进封装测试企业，集成电路产业的关键原材料、零配件（靶材、光刻胶、掩模版、封装载板、抛光垫、抛光液、8英寸及以上硅单晶、8英寸及以上硅片）生产企业，集成电路重大项目和承建企业的清单；《公告》提及的国家鼓励的集成电路生产企业或项目归属企业、国家鼓励的集成电路设计企业清单。
二、2025年已列入清单的企业如需享受新一年度税收优惠政策（进口环节增值税分期纳税政策除外），2026年需重新申报。申请列入清单的企业应于2026年4月7日至4月19日在信息填报系统（https://yyglxxbs.ndrc.gov.cn/xxbs-front/）中提交申请（申请列入享受进口环节增值税分期纳税政策的集成电路重大项目和承建企业清单的，还可选择于2026年9月7日至9月20日提交申请），并生成纸质文件加盖企业公章，连同必要证明材料（电子版、纸质版）报本省、自治区、直辖市及计划单列市、新疆生产建设兵团（以下简称“省级”）发展改革委或工业和信息化主管部门（由省级发展改革委确定接受单位）。经审计的企业会计报告须在提交申请时一并提交。鼓励首版次软件企业积极申报税收优惠。
三、地方发改和工信部门根据企业条件和项目标准（附后），对企业申报的信息进行初核通过后，报送至国家发展改革委、工业和信息化部。《若干政策》第（一）、（三）、（六）、（七）条，以及财关税〔2021〕4号文提及的集成电路产业的关键原材料、零配件生产企业清单，由国家发展改革委、工业和信息化部、财政部、海关总署、税务总局进行联审确认并联合印发。《若干政策》第（八）条提及的集成电路重大项目，由国家发展改革委、工业和信息化部形成清单后函告财政部，财政部会同海关总署、税务总局最终确定。《公告》提及的国家鼓励的集成电路生产企业或项目归属企业、国家鼓励的集成电路设计企业清单，由国家发展改革委、工业和信息化部、财政部、税务总局进行联审确认并联合印发。
四、列入清单的企业在下一年度企业所得税预缴申报时，可自行判断是否符合条件。如符合条件，在预缴申报时可先行享受优惠，年度汇算清缴时，如未被列入下一年度清单，按规定补缴税款，依法不加收滞纳金。申请享受《若干政策》第（一）、（三）、（六）、（七）条提及的税收优惠政策，财关税〔2021〕4号文提及的关税优惠政策，以及《公告》提及的研发费用加计扣除政策的，可于汇算清缴结束前，从信息填报系统中查询是否列入清单。享受《若干政策》第（八）条优惠政策的，由企业所在地直属海关告知相关企业。
五、已享受《若干政策》第（一）、（三）、（六）、（七）条提及的税收优惠政策，财关税〔2021〕4号文提及的关税优惠政策的企业或项目，以及《公告》提及的研发费用加计扣除政策的企业或项目归属企业发生更名、分立、合并、重组、经营范围内不再包含企业所享税收优惠类型对应的业务等重大变化情况，应及时向地方发改和工信部门报告，并于完成变更登记之日起60日内，将企业重大变化情况表和相关材料报送国家发展改革委、工业和信息化部（以省级部门上报文件落款日为准）。国家发展改革委、工业和信息化部会同相关部门确定发生变更情形后是否继续符合享受优惠政策的企业条件或项目标准。
六、地方发改和工信部门会同财政、海关、税务部门对清单内的企业加强日常监管。在监管过程中，如发现企业存在以虚报信息获得减免税资格问题，应及时联合核查，并联合上报国家发展改革委、工业和信息化部进行复核。国家发展改革委、工业和信息化部会同相关部门复核后，对确不符合享受优惠政策条件和标准的企业或项目，将函告财政部、海关总署、税务总局按相关规定处理。
七、企业对所提供材料和数据的真实性负责。申报企业应签署承诺书，承诺申报如出现失信行为，则接受有关部门按照法律、法规和国家有关规定处理，涉及违法行为的信息记入企业信用记录，纳入全国信用信息共享平台，并在“信用中国”网站公示。
八、本通知自印发之日起实施，并适用于企业享受2025年度企业所得税优惠政策和财关税〔2021〕4号文规定的进口税收政策，以及《公告》提及的研发费用加计扣除政策。国家发展改革委、工业和信息化部会同相关部门，根据产业发展、技术进步等情况，对符合享受优惠政策的企业条件或项目标准适时调整。
附件：1.享受税收优惠政策的企业条件和项目标准
2.重点集成电路设计领域和重点软件领域
3.享受税收优惠政策的集成电路企业、项目和软件企业提交材料明细表
4.企业重大变化情况表
国家发展改革委
工业和信息化部
财  政  部
海 关 总 署
税 务 总 局
2026年4月7日",国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20620,,2600,,2026-04-25 16:17:54,ok
关于公布2026年稻谷最低收购价格的通知(发改价格〔2026〕451号),2026-03-03,"国家发展改革委等部门关于公布2026年
稻谷最低收购价格的通知
发改价格〔2026〕451号
各省、自治区、直辖市发展改革委、财政厅（局）、农业农村（农牧）厅（局、委）、粮食和物资储备局（粮食局）：
2026年，国家继续在稻谷主产区实行最低收购价政策。综合考虑粮食生产成本、市场供求、国内外市场价格和产业发展等因素，经国务院批准，2026年生产的早籼稻（三等，下同）、中晚籼稻和粳稻最低收购价分别为每50公斤128元、129元和131元。
各省（区、市）有关部门要引导农民合理种植，加强田间管理，促进稻谷稳产提质增效。
国家发展改革委
财  政  部
农 业 农 村 部
国家粮食和储备局
2026年3月31日",国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20616,,305,,2026-04-25 16:17:56,ok
关于印发《全国公共信用信息基础目录(2026年版)》和《全国失信惩戒措施基础清单(2026年版)》的通知(发改财金〔2026〕447号),2026-03-03,"国家发展改革委 中国人民银行关于印发
《全国公共信用信息基础目录（2026年版）》和
《全国失信惩戒措施基础清单（2026年版）》的通知
发改财金〔2026〕447号
中央和国家机关有关部门，各省、自治区、直辖市、新疆生产建设兵团社会信用体系建设牵头单位，有关人民团体，中国国家铁路集团有限公司：
按照《中共中央办公厅、国务院办公厅关于健全社会信用体系的意见》《国务院办公厅关于进一步完善失信约束制度 构建诚信建设长效机制的指导意见》要求，国家发展改革委、中国人民银行会同社会信用体系建设部际联席会议成员单位和其他有关部门、单位，编制了《全国公共信用信息基础目录（2026年版）》和《全国失信惩戒措施基础清单（2026年版）》，现予印发实施。本通知自印发之日起施行，有效期二年，2025年版同时废止。
国家发展改革委
中国人民银行
2026年3月30日",国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20617,,376,,2026-04-25 16:17:59,ok
国家发展改革委部门预算（2026年）,2026-03-02,,国家发展改革委,全国,国家发展改革委-政府信息公开,产业人才,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20613,,0,,2026-04-25 16:18:01,no_content
